experiment,group,value,n,hit_at_1_pct,hit_at_3_pct,mrr,source_accuracy_pct,page_accuracy_pct,language_detection_accuracy_pct,response_language_consistency_pct,correctness_proxy_pct,relevance_proxy_pct,groundedness_proxy_pct,completeness_proxy_pct,avg_reference_token_recall,avg_reference_token_f1,avg_latency_seconds,median_latency_seconds,p95_latency_seconds
Fast,expected_language,bangla,60,21.67,61.67,0.378,81.67,21.67,100.00,90.00,31.67,45.00,61.67,16.67,0.491,0.351,0.005,0.005,0.006
Fast,expected_language,banglish,60,21.67,63.33,0.386,85.00,21.67,100.00,91.67,61.67,43.33,63.33,50.00,0.654,0.403,0.005,0.005,0.007
Fast,expected_language,english,60,18.33,60.00,0.350,88.33,18.33,100.00,100.00,65.00,46.67,60.00,53.33,0.697,0.450,0.003,0.003,0.006
Fast,intent,assessment,6,33.33,50.00,0.417,33.33,33.33,100.00,100.00,0.00,0.00,50.00,0.00,0.412,0.178,0.005,0.005,0.006
Fast,intent,clo,39,30.77,100.00,0.603,100.00,30.77,100.00,100.00,76.92,100.00,100.00,46.15,0.798,0.758,0.003,0.003,0.003
Fast,intent,course_metadata,9,100.00,100.00,1.000,100.00,100.00,100.00,100.00,66.67,100.00,100.00,66.67,0.833,0.847,0.004,0.004,0.007
Fast,intent,course_objective,9,100.00,100.00,1.000,100.00,100.00,100.00,88.89,55.56,77.78,100.00,11.11,0.695,0.579,0.003,0.003,0.005
Fast,intent,final_exam_marks,6,0.00,0.00,0.000,50.00,0.00,100.00,100.00,33.33,33.33,0.00,33.33,0.512,0.376,0.006,0.006,0.007
Fast,intent,mark_distribution,3,100.00,100.00,1.000,100.00,100.00,100.00,100.00,33.33,0.00,100.00,33.33,0.601,0.270,0.007,0.007,0.007
Fast,intent,topics,81,2.47,40.74,0.165,82.72,2.47,100.00,88.89,50.62,22.22,40.74,45.68,0.552,0.230,0.005,0.005,0.007
Fast,intent,weekly_content,27,0.00,55.56,0.241,77.78,0.00,100.00,96.30,37.04,22.22,55.56,25.93,0.502,0.261,0.005,0.005,0.006
Fast,course_code,CSE 101,60,30.00,68.33,0.439,83.33,30.00,100.00,93.33,53.33,43.33,68.33,46.67,0.600,0.381,0.005,0.005,0.007
