experiment,group,value,n,hit_at_1_pct,hit_at_3_pct,mrr,source_accuracy_pct,page_accuracy_pct,avg_latency_seconds,median_latency_seconds,p95_latency_seconds
Baseline GGUF retrieval,expected_language,bangla,60,31.67,73.33,0.489,88.33,31.67,9.618,8.787,21.377
Baseline GGUF retrieval,expected_language,banglish,60,38.33,75.00,0.542,88.33,38.33,7.828,7.377,17.041
Baseline GGUF retrieval,expected_language,english,60,35.00,65.00,0.469,86.67,35.00,5.513,6.691,9.536
Baseline GGUF retrieval,intent,assessment,6,0.00,50.00,0.250,0.00,0.00,7.768,6.750,13.051
Baseline GGUF retrieval,intent,clo,39,61.54,61.54,0.615,100.00,61.54,9.487,8.317,21.377
Baseline GGUF retrieval,intent,course_metadata,9,100.00,100.00,1.000,100.00,100.00,9.633,7.454,24.217
Baseline GGUF retrieval,intent,course_objective,9,100.00,100.00,1.000,100.00,100.00,11.411,9.086,20.653
Baseline GGUF retrieval,intent,final_exam_marks,6,0.00,0.00,0.000,50.00,0.00,9.375,8.871,12.384
Baseline GGUF retrieval,intent,mark_distribution,3,0.00,100.00,0.333,0.00,0.00,7.641,6.585,9.836
Baseline GGUF retrieval,intent,topics,81,14.81,76.54,0.407,96.30,14.81,6.562,6.723,19.910
Baseline GGUF retrieval,intent,weekly_content,27,33.33,66.67,0.463,74.07,33.33,5.958,6.297,9.659
Baseline GGUF retrieval,course_code,CSE 101,60,35.00,63.33,0.458,95.00,35.00,7.434,7.101,17.041
Baseline GGUF retrieval,course_code,ENG (CSE) 101,60,28.33,70.00,0.472,86.67,28.33,6.893,7.209,14.054
Baseline GGUF retrieval,course_code,MTH 101,60,41.67,80.00,0.569,81.67,41.67,8.633,8.320,21.377
Baseline GGUF retrieval,difficulty,easy,57,57.89,63.16,0.596,89.47,57.89,9.401,8.317,21.377
Baseline GGUF retrieval,difficulty,hard,9,0.00,77.78,0.315,66.67,0.00,6.432,6.474,16.262
Baseline GGUF retrieval,difficulty,medium,114,26.32,74.56,0.466,88.60,26.32,6.876,6.825,19.910
Optimized retrieval,expected_language,bangla,60,48.33,73.33,0.592,88.33,48.33,0.188,0.185,0.224
Optimized retrieval,expected_language,banglish,60,46.67,68.33,0.561,88.33,46.67,0.190,0.187,0.233
Optimized retrieval,expected_language,english,60,46.67,75.00,0.583,88.33,46.67,0.212,0.190,0.249
Optimized retrieval,intent,assessment,6,33.33,50.00,0.389,33.33,33.33,0.189,0.189,0.209
Optimized retrieval,intent,clo,39,61.54,94.87,0.778,100.00,61.54,0.187,0.187,0.224
Optimized retrieval,intent,course_metadata,9,100.00,100.00,1.000,100.00,100.00,0.310,0.178,1.410
Optimized retrieval,intent,course_objective,9,100.00,100.00,1.000,100.00,100.00,0.184,0.170,0.239
Optimized retrieval,intent,final_exam_marks,6,0.00,0.00,0.000,50.00,0.00,0.186,0.185,0.200
Optimized retrieval,intent,mark_distribution,3,0.00,66.67,0.222,0.00,0.00,0.184,0.193,0.199
Optimized retrieval,intent,topics,81,44.44,66.67,0.535,98.77,44.44,0.197,0.193,0.249
Optimized retrieval,intent,weekly_content,27,18.52,59.26,0.352,62.96,18.52,0.183,0.170,0.287
Optimized retrieval,course_code,CSE 101,60,56.67,61.67,0.586,95.00,56.67,0.230,0.203,0.287
Optimized retrieval,course_code,ENG (CSE) 101,60,21.67,73.33,0.453,86.67,21.67,0.188,0.182,0.213
Optimized retrieval,course_code,MTH 101,60,63.33,81.67,0.697,83.33,63.33,0.173,0.170,0.199
Optimized retrieval,difficulty,easy,57,57.89,84.21,0.702,89.47,57.89,0.206,0.184,0.224
Optimized retrieval,difficulty,hard,9,33.33,66.67,0.463,66.67,33.33,0.178,0.187,0.202
Optimized retrieval,difficulty,medium,114,42.98,66.67,0.526,89.47,42.98,0.194,0.191,0.268
